Date,Open,High,Low,Close,Volume
03/05/2024,"510.24","510.70","504.91","507.18","72,855,617"
03/04/2024,"512.03","514.20","512.00","512.30","49,799,262"
03/01/2024,"508.98","513.29","508.56","512.85","76,844,844"
02/29/2024,"508.07","509.74","505.35","508.08","83,924,797"
02/28/2024,"505.33","506.86","504.96","506.26","56,506,633"
02/27/2024,"506.70","507.16","504.75","506.93","48,854,527"
02/26/2024,"508.30","508.75","505.86","505.99","50,386,738"
02/23/2024,"509.27","510.13","507.10","507.85","61,321,820"
02/22/2024,"504.01","508.49","503.02","507.50","76,402,547"
02/21/2024,"495.42","497.37","493.56","497.21","59,603,770"
02/20/2024,"497.72","498.41","494.45","496.76","71,736,734"
02/16/2024,"501.70","502.87","498.75","499.51","75,532,930"
02/15/2024,"499.29","502.20","498.80","502.01","61,682,961"
02/14/2024,"496.79","499.07","494.40","498.57","68,387,828"
02/13/2024,"494.53","497.09","490.72","494.08","113,099,203"
02/12/2024,"501.17","503.50","500.24","500.98","56,502,281"
02/09/2024,"498.84","501.65","498.49","501.20","63,979,379"
02/08/2024,"498.10","498.71","497.26","498.32","52,343,641"
02/07/2024,"496.29","498.53","495.36","498.10","70,556,516"
02/06/2024,"493.52","494.32","492.05","493.98","55,918,602"
02/05/2024,"493.70","494.38","490.23","492.55","75,757,102"
02/02/2024,"489.65","496.05","489.30","494.35","99,228,195"
02/01/2024,"484.63","489.23","483.80","489.20","91,891,641"
01/31/2024,"488.62","489.08","482.86","482.88","126,011,102"
01/30/2024,"490.56","491.62","490.11","490.89","58,618,391"
01/29/2024,"487.73","491.42","487.17","491.27","61,322,754"
01/26/2024,"487.59","489.12","486.54","487.41","76,641,609"
01/25/2024,"487.58","488.31","485.39","488.03","72,524,992"
01/24/2024,"487.81","488.77","484.88","485.39","81,765,039"
01/23/2024,"484.01","485.11","482.89","484.86","49,945,301"
01/22/2024,"484.01","485.22","482.78","483.45","75,844,930"
01/19/2024,"477.65","482.72","476.54","482.43","110,834,492"
01/18/2024,"474.01","477.06","472.42","476.49","91,856,250"
01/17/2024,"471.82","472.79","469.87","472.29","68,843,875"
01/16/2024,"475.26","476.61","473.06","474.93","85,014,875"
01/12/2024,"477.84","478.60","475.23","476.68","58,026,422"
01/11/2024,"477.59","478.12","472.26","476.35","77,940,719"
01/10/2024,"474.16","477.45","473.87","476.56","67,310,641"
01/09/2024,"471.87","474.93","471.35","473.88","65,931,438"
01/08/2024,"468.43","474.75","468.30","474.60","74,879,070"
01/05/2024,"467.49","470.44","466.43","467.92","86,118,914"
01/04/2024,"468.30","470.96","467.05","467.28","84,232,172"
01/03/2024,"470.43","471.19","468.17","468.79","103,585,906"
01/02/2024,"472.16","473.67","470.49","472.65","123,007,797"
12/29/2023,"476.49","477.03","473.30","475.31","122,283,102"
12/28/2023,"476.88","477.55","476.26","476.69","77,158,117"
12/27/2023,"475.44","476.66","474.89","476.51","68,000,312"
12/26/2023,"474.07","476.58","473.99","475.65","55,386,953"
12/22/2023,"473.86","475.38","471.70","473.65","67,160,414"
